epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
115,41198.5,0.36304,0.14677,0.00116,0.99377,0.99144,0.99462,0.97329,0.24367,0.09015,0.00118,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
116,41559.7,0.36631,0.14843,0.00116,0.99373,0.992,0.99462,0.97334,0.24368,0.09022,0.00118,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
117,41918.1,0.36245,0.14715,0.00116,0.99213,0.99287,0.99462,0.97331,0.24372,0.0914,0.00118,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
118,42290.6,0.36441,0.14776,0.00115,0.99435,0.99092,0.99462,0.97333,0.24353,0.09094,0.00118,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834
119,42650.9,0.3581,0.14461,0.00115,0.99321,0.99222,0.99463,0.97329,0.24349,0.09056,0.00118,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
120,43008.3,0.36175,0.14846,0.00118,0.99355,0.99211,0.99461,0.97318,0.24348,0.0911,0.00118,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438
121,43367.9,0.35695,0.14397,0.00115,0.9935,0.99222,0.99461,0.97317,0.24325,0.09099,0.00118,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
122,43728.6,0.36377,0.15154,0.00118,0.99382,0.99006,0.9946,0.97322,0.24298,0.09159,0.00118,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042,0.0228126,0.0076042
123,44100.1,0.36084,0.14889,0.00115,0.99433,0.99069,0.99459,0.97322,0.24296,0.09211,0.00118,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844,0.0227532,0.0075844
124,44459.7,0.35946,0.1475,0.00114,0.99349,0.99127,0.99458,0.97324,0.24309,0.09191,0.00118,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646,0.0226938,0.0075646
